member_id,profile_name,source_url,visible_source_label,normalized_label,source_type,visibility_policy,is_public,sort_order,canonical_mesh_ids,canonical_mesh_concepts,hbi_umbrella_ids,hbi_umbrella_tags,taxonomy_status,taxonomy_notes,built_at_utc
mem_bd2c4a5235,Aaron Gruber,https://profiles.ucalgary.ca/aaron-gruber,Neurodevelopmental Disorders,neurodevelopmental disorders,declared_area_title,always_visible_source_declared,true,0,D065886,Neurodevelopmental Disorders,HBI-MED-001,Mental Health,accepted,exact MeSH preferred/entry-term match plus curated umbrella rule,2026-07-31T20:56:20.541600+00:00
mem_bd2c4a5235,Aaron Gruber,https://profiles.ucalgary.ca/aaron-gruber,Mental Health,mental health,declared_area_title,always_visible_source_declared,true,1,D008603,Mental Health,HBI-MED-001,Mental Health,accepted,exact MeSH preferred/entry-term match plus curated umbrella rule,2026-07-31T20:56:20.541600+00:00
mem_bd2c4a5235,Aaron Gruber,https://profiles.ucalgary.ca/aaron-gruber,Machine Learning,machine learning,declared_area_title,always_visible_source_declared,true,2,D000069550,Machine Learning,,,review,MeSH concept found; medical umbrella requires review,2026-07-31T20:56:20.541600+00:00
mem_bd2c4a5235,Aaron Gruber,https://profiles.ucalgary.ca/aaron-gruber,Autism,autism,declared_area_title,always_visible_source_declared,true,3,D001321,Autistic Disorder,HBI-MED-001,Mental Health,accepted,exact MeSH preferred/entry-term match plus curated umbrella rule,2026-07-31T20:56:20.541600+00:00
mem_bd2c4a5235,Aaron Gruber,https://profiles.ucalgary.ca/aaron-gruber,Mitochondria,mitochondria,declared_area_title,always_visible_source_declared,true,4,D008928,Mitochondria,HBI-MED-010,Cellular and Molecular Neuroscience,accepted,exact MeSH preferred/entry-term match plus curated umbrella rule,2026-07-31T20:56:20.541600+00:00
mem_529c362d70,Abdullah Al Maruf,https://profiles.ucalgary.ca/abdullah-al-maruf,Pharmacogenomics,pharmacogenomics,declared_area_list,always_visible_source_declared,true,0,D010597,Pharmacogenetics,HBI-MED-009,Genetics and Genomics,accepted,exact MeSH preferred/entry-term match plus curated umbrella rule,2026-07-31T20:56:20.541600+00:00
mem_529c362d70,Abdullah Al Maruf,https://profiles.ucalgary.ca/abdullah-al-maruf,Precision Pharmacotherapy,precision pharmacotherapy,declared_area_list,always_visible_source_declared,true,1,D004358,Drug Therapy,HBI-MED-008,Pharmacology and Therapeutics,accepted,embedded medical phrase recovered from profile text; exact MeSH preferred/entry-term match plus curated umbrella rule,2026-07-31T20:56:20.541600+00:00
mem_529c362d70,Abdullah Al Maruf,https://profiles.ucalgary.ca/abdullah-al-maruf,Adverse Drug Reactions,adverse drug reactions,declared_area_list,always_visible_source_declared,true,2,D064420,Drug-Related Side Effects and Adverse Reactions,,,review,MeSH concept found; medical umbrella requires review,2026-07-31T20:56:20.541600+00:00
mem_529c362d70,Abdullah Al Maruf,https://profiles.ucalgary.ca/abdullah-al-maruf,Translational Pharmacotherapy,translational pharmacotherapy,declared_area_list,always_visible_source_declared,true,3,D004358,Drug Therapy,HBI-MED-008,Pharmacology and Therapeutics,accepted,embedded medical phrase recovered from profile text; exact MeSH preferred/entry-term match plus curated umbrella rule,2026-07-31T20:56:20.541600+00:00
mem_529c362d70,Abdullah Al Maruf,https://profiles.ucalgary.ca/abdullah-al-maruf,Population Therapeutics and Health Outcomes,population therapeutics and health outcomes,declared_area_list,always_visible_source_declared,true,4,D013812,Therapeutics,HBI-MED-008,Pharmacology and Therapeutics,accepted,embedded medical phrase recovered from profile text; exact MeSH preferred/entry-term match plus curated umbrella rule,2026-07-31T20:56:20.541600+00:00
mem_529c362d70,Abdullah Al Maruf,https://profiles.ucalgary.ca/abdullah-al-maruf,Pharmacovigilance,pharmacovigilance,declared_area_list,always_visible_source_declared,true,5,D060735,Pharmacovigilance,,,review,MeSH concept found; medical umbrella requires review,2026-07-31T20:56:20.541600+00:00
mem_529c362d70,Abdullah Al Maruf,https://profiles.ucalgary.ca/abdullah-al-maruf,Scholarship of Teaching and Learning,scholarship of teaching and learning,declared_area_list,always_visible_source_declared,true,6,D007858,Learning,HBI-MED-011,Cognitive and Behavioural Neuroscience,accepted,embedded medical phrase recovered from profile text; exact MeSH preferred/entry-term match plus curated umbrella rule,2026-07-31T20:56:20.541600+00:00
mem_9f51021d60,Adriana Zardini Buzatto,https://profiles.ucalgary.ca/adriana-zardini-buzatto,"Lipidomics (analytical methods using chromatography and mass spectrometry, database creation, software development, data sciences)",lipidomics analytical methods using chromatography and mass spectrometry database creation software development data sciences,declared_area_title,always_visible_source_declared,true,0,D000077488,Data Science,,,review,delimited profile term; no exact preferred-label or entry-term match in local MeSH 2026 | delimited profile term; MeSH concept found; medical umbrella requires review,2026-07-31T20:56:20.541600+00:00
