member_id,profile_name,source_url,tag_type,tag,normalized_tag,taxonomy_status,includes_legacy_narrative,built_at_utc,source_types,supporting_source_count,supporting_source_labels
mem_010c48c43f,Pamela Roach,https://profiles.ucalgary.ca/pamela-roach,mesh_concept,Dementia,dementia,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_list,2,Dementia and Cognitive Disorders || early onset dementia
mem_010c48c43f,Pamela Roach,https://profiles.ucalgary.ca/pamela-roach,mesh_concept,Mental Health,mental health,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_list,1,Mental Health
mem_010c48c43f,Pamela Roach,https://profiles.ucalgary.ca/pamela-roach,hbi_umbrella,Mental Health,mental health,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_list,1,Mental Health
mem_010c48c43f,Pamela Roach,https://profiles.ucalgary.ca/pamela-roach,hbi_umbrella,Neurological Disorders,neurological disorders,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_list,2,Dementia and Cognitive Disorders || early onset dementia
mem_01f8882e68,Julia Kirkham,https://profiles.ucalgary.ca/julia-kirkham,mesh_concept,Dementia,dementia,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,"Dementia, mental healthcare quality"
mem_01f8882e68,Julia Kirkham,https://profiles.ucalgary.ca/julia-kirkham,hbi_umbrella,Neurological Disorders,neurological disorders,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,"Dementia, mental healthcare quality"
mem_03c6777c7f,Wayne S.R. Chen,https://cumming.ucalgary.ca/departments/bmb/profiles/dr-wayne-sr-chen,mesh_concept,Anti-Arrhythmia Agents,anti arrhythmia agents,accepted,true,2026-07-31T20:56:20.541600+00:00,legacy_research_narrative,1,the molecular actions of pro- and anti-arrhythmic drugs and the development of novel anti-arrhythmic therapies
mem_03c6777c7f,Wayne S.R. Chen,https://cumming.ucalgary.ca/departments/bmb/profiles/dr-wayne-sr-chen,mesh_concept,"Arrhythmias, Cardiac",arrhythmias cardiac,accepted,true,2026-07-31T20:56:20.541600+00:00,legacy_research_narrative,1,the molecular and cellular basis of cardiac arrhythmia and sudden death
mem_03c6777c7f,Wayne S.R. Chen,https://cumming.ucalgary.ca/departments/bmb/profiles/dr-wayne-sr-chen,mesh_concept,Ryanodine Receptor Calcium Release Channel,ryanodine receptor calcium release channel,accepted,true,2026-07-31T20:56:20.541600+00:00,legacy_research_narrative,3,"regulation of RyR by phosphorylation, calmodulin and other protein regulators; and || the molecular mechanisms of RyR activation by cytoplasmic and luminal calcium || three-dimensional structure of RyR"
mem_03c6777c7f,Wayne S.R. Chen,https://cumming.ucalgary.ca/departments/bmb/profiles/dr-wayne-sr-chen,mesh_concept,Therapeutics,therapeutics,accepted,true,2026-07-31T20:56:20.541600+00:00,legacy_research_narrative,1,the molecular actions of pro- and anti-arrhythmic drugs and the development of novel anti-arrhythmic therapies
