"profile","member_id","source_url","input_phrase","candidate_origin","resolved_phrase","disposition","reason","concept_id","concept_id_system","umls_canonical_label","preferred_display_label","mesh_preferred_label","source_vocabulary","semantic_types","match_method","lexical_score","confidence_0_10","umbrella_id","umbrella_label","umbrella_rule_id","scopus_supporting_publications","scopus_latest_year"
"Aaron Gruber","mem_bd2c4a5235","https://profiles.ucalgary.ca/aaron-gruber","attention deficit disorder","legacy_publishable_tag | permissive_extractor","attention deficit disorder","accepted","trusted legacy publishable tag with an exact MeSH match and curated HBI umbrella","D001289","MeSH","","Attention Deficit Disorder with Hyperactivity","Attention Deficit Disorder with Hyperactivity","MSH","","mesh_trusted_entry_term","0.97","9.7","HBI-MED-001","Mental Health","MESH-MH-001","0","0"
"Aaron Gruber","mem_bd2c4a5235","https://profiles.ucalgary.ca/aaron-gruber","autism","permissive_extractor | structured_source","autism","accepted","filtered UMLS concept with curated HBI umbrella","C0004352","UMLS_CUI","Autistic Disorder","Autistic Disorder","Autistic Disorder","MSH","Mental or Behavioral Dysfunction","umls_exact","0.174","9.73","HBI-MED-001","Mental Health","MESH-MH-001","0","0"
"Aaron Gruber","mem_bd2c4a5235","https://profiles.ucalgary.ca/aaron-gruber","Autistic Disorder","legacy_publishable_tag","Autistic Disorder","accepted","trusted legacy publishable tag with an exact MeSH match and curated HBI umbrella","D001321","MeSH","","Autistic Disorder","Autistic Disorder","MSH","","mesh_trusted_preferred","1.0","10.0","HBI-MED-001","Mental Health","MESH-MH-001","0","0"
"Aaron Gruber","mem_bd2c4a5235","https://profiles.ucalgary.ca/aaron-gruber","depression","legacy_publishable_tag | permissive_extractor","depression","accepted","trusted legacy publishable tag with an exact MeSH match and curated HBI umbrella","D003863","MeSH","","Depression","Depression","MSH","","mesh_trusted_preferred","1.0","10.0","HBI-MED-001","Mental Health","MESH-MH-001","1","2022"
"Aaron Gruber","mem_bd2c4a5235","https://profiles.ucalgary.ca/aaron-gruber","environmental toxins","legacy_publishable_tag | permissive_extractor","environmental toxins","review","broad UMLS words result retained for manual review","C0269775","UMLS_CUI","fetal abnormality due to environmental toxins","fetal abnormality due to environmental toxins","","MEDCIN","Disease or Syndrome","umls_words","0.486","8.06","","","","0","0"
"Aaron Gruber","mem_bd2c4a5235","https://profiles.ucalgary.ca/aaron-gruber","inflammatory molecules","legacy_publishable_tag | permissive_extractor","inflammatory molecules","unresolved","no sufficiently similar medical UMLS or MeSH concept","","","","","","","","","0.0","0.0","","","","0","0"
"Aaron Gruber","mem_bd2c4a5235","https://profiles.ucalgary.ca/aaron-gruber","machine learning","legacy_publishable_tag | permissive_extractor | structured_source","machine learning","accepted","trusted legacy publishable tag with an exact MeSH match; umbrella classification is optional","D000069550","MeSH","","Machine Learning","Machine Learning","MSH","","mesh_trusted_preferred","1.0","10.0","","","","1","2019"
"Aaron Gruber","mem_bd2c4a5235","https://profiles.ucalgary.ca/aaron-gruber","Mental Health","structured_source","Mental Health","accepted","filtered UMLS concept with curated HBI umbrella","C0025353","UMLS_CUI","mental health","Mental Health","Mental Health","MSH","Mental Process","umls_exact","1.0","9.53","HBI-MED-001","Mental Health","MESH-MH-001","0","0"
"Aaron Gruber","mem_bd2c4a5235","https://profiles.ucalgary.ca/aaron-gruber","Mitochondria","structured_source","Mitochondria","accepted","filtered UMLS concept with curated HBI umbrella","C0026237","UMLS_CUI","Mitochondria","Mitochondria","Mitochondria","MSH","Cell Component","umls_exact","1.0","10.0","HBI-MED-010","Cellular and Molecular Neuroscience","MESH-CELL-001","0","0"
"Aaron Gruber","mem_bd2c4a5235","https://profiles.ucalgary.ca/aaron-gruber","Neurodevelopmental Disorders","structured_source","Neurodevelopmental Disorders","accepted","filtered UMLS concept with curated HBI umbrella","C1535926","UMLS_CUI","Neurodevelopmental Disorders","Neurodevelopmental Disorders","Neurodevelopmental Disorders","MSH","Mental or Behavioral Dysfunction","umls_exact","1.0","10.0","HBI-MED-001","Mental Health","MESH-MH-001","0","0"
