"profile","member_id","current_tag_count","current_visible_tags","v2_source_label_count","v2_source_labels","v2_mesh_tag_count","v2_mesh_tags","v2_umbrella_count","v2_umbrellas","hybrid_accepted_concept_count","hybrid_accepted_concepts","hybrid_umbrella_count","hybrid_umbrellas","hybrid_recall_gain_count","hybrid_recall_gains_vs_v2","hybrid_review_count","hybrid_rejected_noise_count","hybrid_rejected_phrases"
"Aaron Gruber","mem_bd2c4a5235","7","Attention Deficit Disorder | Autistic Disorder | Environmental Toxins | Depression | Inflammatory Molecules | Neuromodulators Like Dopamine | Machine Learning","5","Neurodevelopmental Disorders | Mental Health | Machine Learning | Autism | Mitochondria","4","Autistic Disorder | Mental Health | Mitochondria | Neurodevelopmental Disorders","2","Cellular and Molecular Neuroscience | Mental Health","8","Attention Deficit Disorder with Hyperactivity | Autistic Disorder | Depression | Machine Learning | Mental Health | Mitochondria | Neurodevelopmental Disorders | Neurotransmitter Agents","3","Mental Health | Cellular and Molecular Neuroscience | Pharmacology and Therapeutics","4","Attention Deficit Disorder with Hyperactivity | Depression | Machine Learning | Neurotransmitter Agents","1","0",""
"Aaron Phillips","mem_c57a8f39f9","6","Cardiovascular System | Therapeutics For Neurological | Biomedical Engineering | Physiology Pharmacology | Neurostimulation Hardware | Brain Computer Interfaces","0","","0","","0","","7","Biomedical Engineering | Brain-Computer Interfaces | Cardiovascular System | Electric Stimulation Therapy | Pharmacology | Physiology | Therapeutics","4","Neuroengineering and Medical Technology | Cardiovascular Health | Pharmacology and Therapeutics | Physiology and Systems Biology","7","Biomedical Engineering | Brain-Computer Interfaces | Cardiovascular System | Electric Stimulation Therapy | Pharmacology | Physiology | Therapeutics","0","2","he studies the interactions between the nervous | leads a graduate-level course on commercializing medical neuro-technologies"
"Abdul Rahman","mem_5559bbda00","0","","0","","0","","0","","0","","0","","0","","0","0",""
"Abdullah Al Maruf","mem_529c362d70","6","Precision Pharmacotherapy | Adverse Drug Reactions | Translational Pharmacotherapy | Population Therapeutics | Health Outcomes | Induced Liver Injury","7","Pharmacogenomics | Precision Pharmacotherapy | Adverse Drug Reactions | Translational Pharmacotherapy | Population Therapeutics and Health Outcomes | Pharmacovigilance | Scholarship of Teaching and Learning","4","Drug Therapy | Learning | Pharmacogenetics | Therapeutics","3","Cognitive and Behavioural Neuroscience | Genetics and Genomics | Pharmacology and Therapeutics","5","Drug-Related Side Effects and Adverse Reactions | Pharmacogenetics | Therapeutics | Drug Therapy | Learning","2","Pharmacology and Therapeutics | Cognitive and Behavioural Neuroscience","1","Drug-Related Side Effects and Adverse Reactions","3","0",""
"Adel Gabriel","mem_5f5dfc3246","4","Clinical Outcomes | Mood Disorders | Anxiety Disorders | Attention Deficit Disorder","0","","0","","0","","3","Anxiety Disorders | Attention Deficit Disorder with Hyperactivity | Mood Disorders","1","Mental Health","3","Anxiety Disorders | Attention Deficit Disorder with Hyperactivity | Mood Disorders","1","0",""
"Adriana Zardini Buzatto","mem_9f51021d60","14","Biochemical Pathway | Physiological Processes | Bioinformatics | Semi Targeted Lipidomics | Lipid Differences Amongst Control | Software Development | Microbial Lipidomics | Lipidomics Of Extracellular Vesicles | Exposomics Environmental Lipidomics | Lipidomics Analytical Methods | Mass Spectrometry | Alzheimer Disease | Lipid Metabolism | Intercellular Communication","5","Lipidomics (analytical methods using chromatography and mass spectrometry, database creation, software development, data sciences) | Microbial lipidomics | Lipidomics of extracellular vesicles | Lipids involved in neurodegeneration and aging | Exposomics - environmental lipidomics","0","","0","","6","Alzheimer Disease | Computational Biology | Cell Communication | Lipid Metabolism | Mass Spectrometry | Physiological Phenomena","2","Neurological Disorders | Physiology and Systems Biology","6","Alzheimer Disease | Computational Biology | Cell Communication | Lipid Metabolism | Mass Spectrometry | Physiological Phenomena","5","0",""
"Adrianna Giuffre","mem_9caecf64a4","11","Brain Stimulation | Mental Health | Neurodevelopment Disorders | Neuroimaging | Epilepsy | Multiple Sclerosis | Clinical Outcomes | Stroke | Mental Depression | Individuals With Neurological Conditions | Development Disorder","6","Brain Stimulation | Mental Health | Neurodevelopment Disorders | Neuroimaging | Epilepsy | Multiple Sclerosis","5","Epilepsy | Mental Health | Multiple Sclerosis | Neurodevelopmental Disorders | Neuroimaging","3","Imaging and Diagnostics | Mental Health | Neurological Disorders","8","Depression | Mental Disorders | Epilepsy | Mental Health | Multiple Sclerosis | Neurodevelopmental Disorders | Neuroimaging | Stroke","4","Mental Health | Neurological Disorders | Imaging and Diagnostics | Cardiovascular Health","3","Depression | Mental Disorders | Stroke","3","0",""
"Alan McLuckie","mem_9461efbef5","4","Mental Health | Learning Difficulties | Family Coping | School Based Mental Health","5","Infant | child and youth mental health | neurodevelopmental and learning difficulties | vulnerable family coping | couple/family therapy","3","Learning | Mental Health | Therapeutics","3","Cognitive and Behavioural Neuroscience | Mental Health | Pharmacology and Therapeutics","3","Mental Health | Therapeutics | Learning","3","Mental Health | Pharmacology and Therapeutics | Cognitive and Behavioural Neuroscience","0","","2","1","school-based mental health"
"Aleksandra Mineyko","mem_b85b93eb26","5","Inflammation | Stroke | Migraine | Inflammation Associated With Neurological | Pediatric Neurology","2","Inflammation | Stroke","1","Stroke","1","Cardiovascular Health","3","Inflammation | Migraine Disorders | Stroke","1","Cardiovascular Health","2","Inflammation | Migraine Disorders","2","0",""
"Alex Lohman","mem_67336e1dbb","12","Traumatic Brain Injury | Inflammation | Molecular Mechanisms | Stroke | Tissue Regeneration | Brain Injuries | Molecular Biology | Mild Traumatic Brain Injury | Single Cell | Cytokines Panel | Harmful Neuroinflammation | Chronic Neuroinflammatory Pathologies","5","Brain Injury | Inflammation | Molecular Mechanisms | Stroke | Tissue Regeneration","2","Brain Injuries | Stroke","2","Brain Injury and Neurotrauma | Cardiovascular Health","6","Brain Injuries | Inflammation | Brain Concussion | Molecular Biology | Stroke | Brain Injuries, Traumatic","2","Brain Injury and Neurotrauma | Cardiovascular Health","4","Inflammation | Brain Concussion | Molecular Biology | Brain Injuries, Traumatic","5","0",""
"Alexander McGirr","mem_ab3c7cd459","5","Mental Health | Stress | Bipolar Disorder | Mood Disorders | Major Depressive Disorder","2","Mental Health | Stress","1","Mental Health","1","Mental Health","4","Bipolar Disorder | Major Depressive Disorder | Mental Health | Mood Disorders","1","Mental Health","3","Bipolar Disorder | Major Depressive Disorder | Mood Disorders","1","0",""
"Ali Golestani","mem_fc88669608","9","MRI Of Brain With Functional Imaging | Neuroimaging | Quality Assurance | Radiation Therapy | Medical Imaging | Image Processing | Magnetic Resonance Imaging | Method Of Processing | Cancer Treatment","6","Functional MRI | Neuroimaging | MRI Quality Assurance | MRI in Radiation Therapy | Medical Imaging | Image Processing","4","Diagnostic Imaging | Magnetic Resonance Imaging | Neuroimaging | Radiotherapy","2","Imaging and Diagnostics | Pharmacology and Therapeutics","7","Neoplasms | Therapeutics | Magnetic Resonance Imaging | Functional MRI | Diagnostic Imaging | Neuroimaging | Radiotherapy","3","Cancer and Tumours | Pharmacology and Therapeutics | Imaging and Diagnostics","3","Neoplasms | Therapeutics | Functional MRI","5","0",""
"Alim Mitha","mem_29212b7883","1","Stroke","0","","0","","0","","1","Stroke","1","Cardiovascular Health","1","Stroke","0","0",""
"Alvin Joselin","mem_feaca2a8a0","3","Parkinson Disease Associated Proteins | Parkinson Disease | Endoplasmic Reticulum Er Stress","1","Molecular mechanisms in Parkinson's Disease","1","Parkinson Disease","1","Neurological Disorders","2","Parkinson Disease | Parkinson Disease Associated Proteins","1","Neurological Disorders","1","Parkinson Disease Associated Proteins","1","0",""
