profile,member_id,source_url,input_phrase,candidate_origin,resolved_phrase,disposition,reason,concept_id,concept_id_system,umls_canonical_label,preferred_display_label,mesh_preferred_label,source_vocabulary,semantic_types,match_method,lexical_score,confidence_0_10,umbrella_id,umbrella_label,umbrella_rule_id,scopus_supporting_publications,scopus_latest_year
Aaron Gruber,mem_bd2c4a5235,https://profiles.ucalgary.ca/aaron-gruber,attention deficit disorder,permissive_extractor,attention deficit disorder,accepted,filtered UMLS concept with curated HBI umbrella,C0041671,UMLS_CUI,Attention Deficit Disorder,Attention Deficit Disorders,Attention Deficit Disorders,MSH,Mental or Behavioral Dysfunction,umls_exact,1.0,10.0,HBI-MED-001,Mental Health,MESH-MH-001,0,0
Aaron Gruber,mem_bd2c4a5235,https://profiles.ucalgary.ca/aaron-gruber,autism,permissive_extractor | structured_source,autism,accepted,filtered UMLS concept with curated HBI umbrella,C0004352,UMLS_CUI,Autistic Disorder,Autistic Disorder,Autistic Disorder,MSH,Mental or Behavioral Dysfunction,umls_exact,0.174,9.73,HBI-MED-001,Mental Health,MESH-MH-001,0,0
Aaron Gruber,mem_bd2c4a5235,https://profiles.ucalgary.ca/aaron-gruber,depression,permissive_extractor,depression,accepted,filtered UMLS concept with curated HBI umbrella,C0011570,UMLS_CUI,Mental Depression,Depression,Depression,MSH,Mental or Behavioral Dysfunction,umls_exact,0.596,9.93,HBI-MED-001,Mental Health,MESH-MH-001,1,2022
Aaron Gruber,mem_bd2c4a5235,https://profiles.ucalgary.ca/aaron-gruber,environmental toxins,permissive_extractor,environmental toxins,review,medical UMLS concept found; HBI umbrella requires review,C0269775,UMLS_CUI,fetal abnormality due to environmental toxins,fetal abnormality due to environmental toxins,,MEDCIN,Disease or Syndrome,umls_words,0.486,8.06,,,,0,0
Aaron Gruber,mem_bd2c4a5235,https://profiles.ucalgary.ca/aaron-gruber,inflammatory molecules,permissive_extractor,inflammatory molecules,unresolved,no sufficiently similar medical UMLS or MeSH concept,,,,,,,,,0.0,0.0,,,,0,0
Aaron Gruber,mem_bd2c4a5235,https://profiles.ucalgary.ca/aaron-gruber,machine learning,permissive_extractor | structured_source,machine learning,review,local MeSH fallback after broad UMLS candidate search,D000069550,MeSH,,Machine Learning,Machine Learning,MSH,,mesh_fallback,1.0,10.0,,,,1,2019
Aaron Gruber,mem_bd2c4a5235,https://profiles.ucalgary.ca/aaron-gruber,Mental Health,structured_source,Mental Health,accepted,filtered UMLS concept with curated HBI umbrella,C0025353,UMLS_CUI,mental health,Mental Health,Mental Health,MSH,Mental Process,umls_exact,1.0,9.53,HBI-MED-001,Mental Health,MESH-MH-001,0,0
Aaron Gruber,mem_bd2c4a5235,https://profiles.ucalgary.ca/aaron-gruber,Mitochondria,structured_source,Mitochondria,accepted,filtered UMLS concept with curated HBI umbrella,C0026237,UMLS_CUI,Mitochondria,Mitochondria,Mitochondria,MSH,Cell Component,umls_exact,1.0,10.0,HBI-MED-010,Cellular and Molecular Neuroscience,MESH-CELL-001,0,0
Aaron Gruber,mem_bd2c4a5235,https://profiles.ucalgary.ca/aaron-gruber,Neurodevelopmental Disorders,structured_source,Neurodevelopmental Disorders,accepted,filtered UMLS concept with curated HBI umbrella,C1535926,UMLS_CUI,Neurodevelopmental Disorders,Neurodevelopmental Disorders,Neurodevelopmental Disorders,MSH,Mental or Behavioral Dysfunction,umls_exact,1.0,10.0,HBI-MED-001,Mental Health,MESH-MH-001,0,0
Aaron Gruber,mem_bd2c4a5235,https://profiles.ucalgary.ca/aaron-gruber,neuromodulators like dopamine,permissive_extractor,Neurotransmitter Agents,accepted,filtered UMLS concept with curated HBI umbrella,C0243051,UMLS_CUI,Neurotransmitter Agents,Neurotransmitter Agents,Neurotransmitter Agents,MSH,Pharmacologic Substance,umls_exact,1.0,10.0,HBI-MED-008,Pharmacology and Therapeutics,MESH-PHARM-001,0,0
