member_id,publication_year,publication_count,publications_with_keywords
mem_010c48c43f,2008,3,0
mem_010c48c43f,2009,2,0
mem_010c48c43f,2010,2,1
mem_010c48c43f,2012,1,1
mem_010c48c43f,2014,5,4
mem_010c48c43f,2016,2,1
mem_010c48c43f,2017,1,0
mem_010c48c43f,2018,1,0
mem_010c48c43f,2019,1,1
mem_010c48c43f,2020,5,5
mem_010c48c43f,2021,4,4
mem_010c48c43f,2022,11,5
mem_010c48c43f,2023,12,5
mem_010c48c43f,2024,10,9
mem_010c48c43f,2025,14,12
mem_010c48c43f,2026,9,7
mem_01f8882e68,2015,1,0
mem_01f8882e68,2016,2,1
mem_01f8882e68,2017,4,3
mem_01f8882e68,2018,2,0
mem_01f8882e68,2019,2,1
mem_01f8882e68,2020,1,1
mem_01f8882e68,2021,2,1
mem_01f8882e68,2022,8,5
mem_01f8882e68,2023,2,1
mem_01f8882e68,2024,6,4
mem_01f8882e68,2025,5,5
mem_01f8882e68,2026,2,2
mem_023bd77aa2,2005,2,0
mem_023bd77aa2,2006,4,3
mem_023bd77aa2,2007,2,1
mem_023bd77aa2,2008,1,0
mem_023bd77aa2,2009,3,3
mem_023bd77aa2,2010,2,1
mem_023bd77aa2,2011,2,1
mem_023bd77aa2,2012,1,1
mem_023bd77aa2,2013,2,2
mem_023bd77aa2,2014,3,1
mem_023bd77aa2,2015,3,2
mem_023bd77aa2,2016,10,1
mem_023bd77aa2,2017,10,5
mem_023bd77aa2,2018,7,3
mem_023bd77aa2,2019,9,5
mem_023bd77aa2,2020,20,11
mem_023bd77aa2,2021,6,2
mem_023bd77aa2,2022,8,3
mem_023bd77aa2,2023,8,2
mem_023bd77aa2,2024,14,11
mem_023bd77aa2,2025,10,6
mem_023bd77aa2,2026,4,3
mem_02e49536b8,1991,1,1
mem_02e49536b8,1992,4,1
mem_02e49536b8,1993,1,0
mem_02e49536b8,1994,2,0
mem_02e49536b8,1995,1,1
mem_02e49536b8,1996,1,0
mem_02e49536b8,1998,1,1
mem_02e49536b8,2000,4,2
mem_02e49536b8,2002,1,1
mem_02e49536b8,2003,5,2
mem_02e49536b8,2004,2,2
mem_02e49536b8,2005,2,0
mem_02e49536b8,2006,2,2
mem_02e49536b8,2007,2,2
mem_02e49536b8,2008,3,3
mem_02e49536b8,2009,2,2
mem_02e49536b8,2010,4,3
mem_02e49536b8,2011,1,0
mem_02e49536b8,2012,2,1
mem_02e49536b8,2013,1,0
mem_02e49536b8,2014,3,2
mem_02e49536b8,2015,2,0
mem_02e49536b8,2017,2,1
mem_02e49536b8,2022,1,1
mem_02e49536b8,2023,1,1
mem_02e49536b8,2024,1,1
mem_05362065f8,1993,1,1
mem_05362065f8,1999,1,0
mem_05362065f8,2001,2,0
mem_05362065f8,2002,1,1
mem_05362065f8,2003,1,0
mem_05362065f8,2005,3,3
mem_05362065f8,2006,3,3
mem_05362065f8,2007,4,1
mem_05362065f8,2008,3,3
mem_05362065f8,2009,1,0
mem_05362065f8,2010,2,2
mem_05362065f8,2011,3,3
mem_05362065f8,2012,4,4
mem_05362065f8,2013,5,4
mem_05362065f8,2014,3,3
mem_05362065f8,2015,3,3
mem_05362065f8,2016,6,5
mem_05362065f8,2017,2,2
mem_05362065f8,2018,9,6
mem_05362065f8,2019,6,6
mem_05362065f8,2020,1,1
mem_05362065f8,2021,8,7
mem_05362065f8,2022,1,1
mem_05362065f8,2023,3,3
mem_05362065f8,2024,1,1
mem_05362065f8,2025,3,3
mem_05362065f8,2026,1,1
mem_057ed15a6a,1997,2,2
mem_057ed15a6a,1998,1,0
mem_057ed15a6a,1999,1,1
mem_057ed15a6a,2000,2,2
mem_057ed15a6a,2001,3,3
mem_057ed15a6a,2002,1,1
mem_057ed15a6a,2003,4,2
mem_057ed15a6a,2004,4,2
mem_057ed15a6a,2005,3,2
mem_057ed15a6a,2006,5,3
mem_057ed15a6a,2007,6,4
mem_057ed15a6a,2008,4,2
mem_057ed15a6a,2010,1,1
mem_057ed15a6a,2011,2,0
mem_057ed15a6a,2012,2,1
mem_057ed15a6a,2013,2,0
mem_057ed15a6a,2015,1,0
mem_057ed15a6a,2017,3,3
mem_057ed15a6a,2019,2,1
mem_057ed15a6a,2025,2,1
mem_057ed15a6a,2026,2,0
mem_05a8774842,2001,1,0
mem_05a8774842,2013,1,0
mem_05a8774842,2014,1,1
mem_05a8774842,2017,1,1
mem_05a8774842,2018,1,1
mem_05a8774842,2019,2,2
mem_05a8774842,2020,3,3
mem_05a8774842,2021,2,2
mem_05a8774842,2022,4,2
mem_05a8774842,2023,1,1
mem_05a8774842,2025,1,1
mem_05a8774842,2026,1,1
mem_068c3d4ab0,1999,3,1
mem_068c3d4ab0,2000,2,0
mem_068c3d4ab0,2005,3,1
mem_068c3d4ab0,2006,2,2
mem_068c3d4ab0,2007,7,4
mem_068c3d4ab0,2008,2,2
mem_068c3d4ab0,2009,3,3
mem_068c3d4ab0,2010,6,6
mem_068c3d4ab0,2011,6,5
mem_068c3d4ab0,2012,3,1
mem_068c3d4ab0,2013,4,2
mem_068c3d4ab0,2014,3,3
mem_068c3d4ab0,2015,2,2
mem_068c3d4ab0,2016,3,3
mem_068c3d4ab0,2017,11,11
mem_068c3d4ab0,2018,7,7
mem_068c3d4ab0,2019,2,2
mem_068c3d4ab0,2020,5,5
mem_068c3d4ab0,2021,5,4
mem_068c3d4ab0,2022,4,4
mem_068c3d4ab0,2023,3,2
mem_068c3d4ab0,2024,5,3
mem_068c3d4ab0,2025,1,1
mem_06b710915b,2005,1,1
mem_06b710915b,2006,2,2
mem_06b710915b,2012,1,1
mem_06b710915b,2013,1,0
mem_06b710915b,2014,1,1
mem_06b710915b,2016,1,0
mem_06b710915b,2019,1,1
mem_06b710915b,2021,6,6
mem_06b710915b,2022,4,4
mem_06b710915b,2023,4,4
mem_06b710915b,2024,3,3
mem_06b710915b,2025,5,3
mem_06b710915b,2026,8,8
mem_085f530390,1992,1,1
mem_085f530390,1993,1,1
mem_085f530390,1994,1,1
mem_085f530390,1995,2,2
mem_085f530390,1996,1,0
mem_085f530390,1997,5,4
mem_085f530390,1998,2,1
mem_085f530390,1999,3,1
mem_085f530390,2001,2,1
mem_085f530390,2002,1,1
mem_085f530390,2003,2,1
mem_085f530390,2004,1,1
mem_085f530390,2005,3,1
mem_085f530390,2006,3,0
mem_085f530390,2007,4,2
mem_085f530390,2008,1,1
mem_085f530390,2009,4,2
mem_085f530390,2010,7,3
mem_085f530390,2011,5,0
mem_085f530390,2012,3,2
mem_085f530390,2013,5,2
mem_085f530390,2014,5,3
mem_085f530390,2015,11,3
mem_085f530390,2016,4,0
mem_085f530390,2017,4,1
mem_085f530390,2018,8,6
mem_085f530390,2019,3,1
mem_085f530390,2020,6,2
mem_085f530390,2021,9,4
mem_085f530390,2022,4,2
mem_085f530390,2023,7,5
mem_085f530390,2024,9,5
mem_085f530390,2025,2,0
mem_085f530390,2026,2,1
mem_087ae95126,2006,1,1
mem_087ae95126,2008,3,0
mem_087ae95126,2009,1,1
mem_087ae95126,2010,1,1
mem_087ae95126,2011,1,0
mem_087ae95126,2012,3,0
mem_087ae95126,2013,3,3
mem_087ae95126,2014,2,2
mem_087ae95126,2016,1,0
mem_087ae95126,2018,2,2
mem_087ae95126,2019,3,2
mem_087ae95126,2020,5,4
mem_087ae95126,2022,1,0
mem_087ae95126,2023,3,3
mem_087ae95126,2024,3,2
mem_087ae95126,2025,3,2
mem_087ae95126,2026,2,2
mem_0aa82264fe,2003,1,1
mem_0aa82264fe,2004,1,1
mem_0aa82264fe,2007,1,1
mem_0aa82264fe,2008,2,1
mem_0aa82264fe,2009,2,2
mem_0aa82264fe,2010,1,1
mem_0aa82264fe,2011,1,1
mem_0aa82264fe,2013,3,3
mem_0aa82264fe,2014,2,1
mem_0aa82264fe,2015,1,1
mem_0aa82264fe,2016,2,2
mem_0aa82264fe,2017,1,0
mem_0aa82264fe,2018,2,2
mem_0aa82264fe,2019,1,1
mem_0aa82264fe,2020,2,2
mem_0aa82264fe,2021,3,1
mem_0aa82264fe,2022,2,1
mem_0aa82264fe,2023,6,4
mem_0aa82264fe,2024,6,3
mem_0aa82264fe,2025,7,6
mem_0b284f6c80,1983,1,0
mem_0b284f6c80,1987,1,0
mem_0b284f6c80,1990,3,1
mem_0b284f6c80,1991,5,2
mem_0b284f6c80,1992,3,1
mem_0b284f6c80,1994,3,2
mem_0b284f6c80,1995,2,1
mem_0b284f6c80,1996,3,1
mem_0b284f6c80,1997,4,3
mem_0b284f6c80,1998,3,3
mem_0b284f6c80,1999,2,0
mem_0b284f6c80,2000,2,0
mem_0b284f6c80,2001,4,0
mem_0b284f6c80,2002,6,2
mem_0b284f6c80,2003,2,1
mem_0b284f6c80,2004,4,2
mem_0b284f6c80,2005,1,0
mem_0b284f6c80,2006,3,0
mem_0b284f6c80,2007,2,2
mem_0b284f6c80,2008,1,0
mem_0b284f6c80,2010,1,1
mem_0b284f6c80,2017,1,0
mem_0b284f6c80,2018,4,2
mem_0b284f6c80,2019,1,1
mem_0b284f6c80,2023,1,0
mem_0b284f6c80,2026,1,0
mem_0ba27398f2,2009,1,1
mem_0ba27398f2,2011,6,5
mem_0ba27398f2,2012,8,8
mem_0ba27398f2,2013,9,8
mem_0ba27398f2,2014,8,8
mem_0ba27398f2,2015,7,6
mem_0ba27398f2,2016,9,9
mem_0ba27398f2,2017,9,6
mem_0ba27398f2,2018,6,4
mem_0ba27398f2,2019,8,7
mem_0ba27398f2,2020,29,25
mem_0ba27398f2,2021,17,17
mem_0ba27398f2,2022,10,9
mem_0ba27398f2,2023,18,18
mem_0ba27398f2,2024,17,17
mem_0ba27398f2,2025,19,15
mem_0ba27398f2,2026,7,5
mem_0ba6f2386f,2004,1,0
mem_0ba6f2386f,2005,1,1
mem_0ba6f2386f,2006,4,2
mem_0ba6f2386f,2007,1,1
mem_0ba6f2386f,2008,2,1
mem_0ba6f2386f,2009,10,9
mem_0ba6f2386f,2010,9,9
mem_0ba6f2386f,2011,6,6
mem_0ba6f2386f,2012,5,5
mem_0ba6f2386f,2013,3,3
mem_0ba6f2386f,2014,15,14
mem_0ba6f2386f,2015,7,5
mem_0ba6f2386f,2016,11,10
mem_0ba6f2386f,2017,13,9
mem_0ba6f2386f,2018,10,9
mem_0ba6f2386f,2019,17,16
mem_0ba6f2386f,2020,9,8
mem_0ba6f2386f,2021,13,12
mem_0ba6f2386f,2022,7,6
mem_0ba6f2386f,2023,8,6
mem_0ba6f2386f,2024,10,9
mem_0ba6f2386f,2025,6,4
mem_0ba6f2386f,2026,5,5
mem_0bae7d82da,2001,2,2
mem_0bae7d82da,2004,2,1
mem_0bae7d82da,2005,2,2
mem_0bae7d82da,2006,3,3
mem_0bae7d82da,2007,2,1
mem_0bae7d82da,2008,2,2
mem_0bae7d82da,2009,5,4
mem_0bae7d82da,2010,3,1
mem_0bae7d82da,2012,1,1
mem_0bae7d82da,2013,1,1
mem_0bae7d82da,2014,4,2
mem_0bae7d82da,2015,2,1
mem_0bae7d82da,2016,14,9
mem_0bae7d82da,2017,12,10
mem_0bae7d82da,2018,11,7
mem_0bae7d82da,2019,8,7
mem_0bae7d82da,2020,9,7
mem_0bae7d82da,2021,14,8
mem_0bae7d82da,2022,10,5
mem_0bae7d82da,2023,10,5
mem_0bae7d82da,2024,7,1
mem_0bae7d82da,2025,10,7
mem_0bae7d82da,2026,5,3
mem_0be3586361,2004,1,0
mem_0be3586361,2006,1,1
mem_0be3586361,2007,1,1
mem_0be3586361,2008,1,0
mem_0be3586361,2010,2,2
mem_0be3586361,2011,2,0
mem_0be3586361,2012,3,2
mem_0be3586361,2013,6,6
mem_0be3586361,2014,3,3
mem_0be3586361,2015,8,8
mem_0be3586361,2016,7,6
mem_0be3586361,2017,8,7
mem_0be3586361,2018,7,5
mem_0be3586361,2019,9,9
mem_0be3586361,2020,14,13
mem_0be3586361,2021,22,17
mem_0be3586361,2022,19,18
mem_0be3586361,2023,20,19
mem_0be3586361,2024,18,14
mem_0be3586361,2025,14,9
mem_0be3586361,2026,10,8
mem_0f24dba938,2008,1,0
mem_0f24dba938,2010,3,2
mem_0f24dba938,2011,2,2
mem_0f24dba938,2012,8,8
mem_0f24dba938,2013,2,1
mem_0f24dba938,2014,2,2
mem_0f24dba938,2015,19,15
mem_0f24dba938,2016,11,9
mem_0f24dba938,2017,5,3
mem_0f24dba938,2018,14,11
mem_0f24dba938,2019,14,11
mem_0f24dba938,2020,20,17
mem_0f24dba938,2021,26,20
mem_0f24dba938,2022,26,18
