member_id,title,affiliation,sort_order,source_url,verification_status
mem_010c48c43f,Associate Professor,"Cumming School of Medicine, Department of Family Medicine",0,https://profiles.ucalgary.ca/pamela-roach,source_declared
mem_010c48c43f,Associate Professor,"Cumming School of Medicine, Department of Community Health Sciences",1,https://profiles.ucalgary.ca/pamela-roach,source_declared
mem_010c48c43f,Deputy Director,O'Brien Institute for Public Health,2,https://profiles.ucalgary.ca/pamela-roach,source_declared
mem_010c48c43f,Research Director Indigenous Engagement,Vice President Research Office,3,https://profiles.ucalgary.ca/pamela-roach,source_declared
mem_010c48c43f,Full Member,Hotchkiss Brain Institute,4,https://profiles.ucalgary.ca/pamela-roach,source_declared
mem_010c48c43f,Full Member,Mathison Centre for Mental Health Research and Education,5,https://profiles.ucalgary.ca/pamela-roach,source_declared
mem_010c48c43f,Full Member,O'Brien Institute for Public Health,6,https://profiles.ucalgary.ca/pamela-roach,source_declared
mem_010c48c43f,Child Health and Wellness Researcher,Alberta Children's Hospital Research Institute,7,https://profiles.ucalgary.ca/pamela-roach,source_declared
mem_01f8882e68,Associate Professor,"Cumming School of Medicine, Department of Psychiatry",0,https://profiles.ucalgary.ca/julia-kirkham,source_declared
mem_01f8882e68,Full Member,Hotchkiss Brain Institute,1,https://profiles.ucalgary.ca/julia-kirkham,source_declared
mem_01f8882e68,Full Member,Mathison Centre for Mental Health Research and Education,2,https://profiles.ucalgary.ca/julia-kirkham,source_declared
mem_01f8882e68,Full Member,O'Brien Institute for Public Health,3,https://profiles.ucalgary.ca/julia-kirkham,source_declared
mem_023bd77aa2,Professor (Teaching & Research) - Anesthesia and Analgesia,"Faculty of Veterinary Medicine, Fulltime",0,https://profiles.ucalgary.ca/daniel-pang,source_declared
mem_023bd77aa2,Associate Member,Hotchkiss Brain Institute,1,https://profiles.ucalgary.ca/daniel-pang,source_declared
mem_05362065f8,Professor,"Faculty of Arts , Department of Psychology",0,https://profiles.ucalgary.ca/kristin-von-ranson,source_declared
mem_057ed15a6a,Associate Professor - Medicine,"Cumming School of Medicine, Department of Psychiatry",0,https://profiles.ucalgary.ca/thomas-raedler,source_declared
mem_057ed15a6a,Full Member,Hotchkiss Brain Institute,1,https://profiles.ucalgary.ca/thomas-raedler,source_declared
mem_057ed15a6a,Full Member,Mathison Centre for Mental Health Research and Education,2,https://profiles.ucalgary.ca/thomas-raedler,source_declared
mem_057ed15a6a,Associate Dean,Cumming School of Medicine,3,https://profiles.ucalgary.ca/thomas-raedler,source_declared
mem_05a8774842,Associate Professor,"Faculty of Nursing, Faculty",0,https://profiles.ucalgary.ca/jacqueline-smith-0,source_declared
mem_05a8774842,Full Member,Hotchkiss Brain Institute,1,https://profiles.ucalgary.ca/jacqueline-smith-0,source_declared
mem_05a8774842,Full Member,Mathison Centre for Mental Health Research and Education,2,https://profiles.ucalgary.ca/jacqueline-smith-0,source_declared
mem_05a8774842,Advisory Committee,Drug Free Kids Canada,3,https://profiles.ucalgary.ca/jacqueline-smith-0,source_declared
mem_068c3d4ab0,Professor,"Schulich School of Engineering, Department of Electrical and Software Engineering",0,https://profiles.ucalgary.ca/yaoping-hu,source_declared
mem_068c3d4ab0,Associate Member,Hotchkiss Brain Institute,1,https://profiles.ucalgary.ca/yaoping-hu,source_declared
mem_06b710915b,Assistant Professor,"Cumming School of Medicine, Department of Clinical Neurosciences | Physical Medicine and Rehabilitation",0,https://profiles.ucalgary.ca/elizabeth-condliffe,source_declared
mem_06b710915b,Full Member,Hotchkiss Brain Institute,1,https://profiles.ucalgary.ca/elizabeth-condliffe,source_declared
mem_06b710915b,Child Health & Wellness Researcher,"Alberta Children's Hospital Research Institute, Owerko Centre",2,https://profiles.ucalgary.ca/elizabeth-condliffe,source_declared
mem_06b710915b,Adjunct Assistant Professor,Faculty of Kinesiology,3,https://profiles.ucalgary.ca/elizabeth-condliffe,source_declared
mem_077e050839,Clinical Assistant Professor,"Cumming School of Medicine, Department of Emergency Medicine",0,https://profiles.ucalgary.ca/stephanie-vandenberg,source_declared
mem_077e050839,Member,O'Brien Institute for Public Health,1,https://profiles.ucalgary.ca/stephanie-vandenberg,source_declared
mem_077e050839,Member,"Cumming School of Medicine, Office of Health and Medical Education Scholarship",2,https://profiles.ucalgary.ca/stephanie-vandenberg,source_declared
mem_077e050839,Full Member,Hotchkiss Brain Institute,3,https://profiles.ucalgary.ca/stephanie-vandenberg,source_declared
mem_077e050839,Member,Mathison Centre for Mental Health Research and Education,4,https://profiles.ucalgary.ca/stephanie-vandenberg,source_declared
mem_085f530390,Professor - Medicine,"Cumming School of Medicine, Department of Physiology and Pharmacology",0,https://profiles.ucalgary.ca/jaideep-bains,source_declared
mem_085f530390,Associate Member,Hotchkiss Brain Institute,1,https://profiles.ucalgary.ca/jaideep-bains,source_declared
mem_085f530390,Associate Member,Mathison Centre for Mental Health Research and Education,2,https://profiles.ucalgary.ca/jaideep-bains,source_declared
mem_085f530390,Child Health & Wellness Researcher,Alberta Children's Hospital Research Institute,3,https://profiles.ucalgary.ca/jaideep-bains,source_declared
mem_087ae95126,Associate Professor,"Faculty of Arts , Department of Psychology",0,https://profiles.ucalgary.ca/derya-sargin,source_declared
mem_087ae95126,Associate Member,Hotchkiss Brain Institute,1,https://profiles.ucalgary.ca/derya-sargin,source_declared
mem_087ae95126,Full Member,Hotchkiss Brain Institute,2,https://profiles.ucalgary.ca/derya-sargin,source_declared
mem_087ae95126,Full Member,Mathison Centre for Mental Health Research and Education,3,https://profiles.ucalgary.ca/derya-sargin,source_declared
mem_087ae95126,Child Health & Wellness Researcher,Alberta Children's Hospital Research Institute,4,https://profiles.ucalgary.ca/derya-sargin,source_declared
mem_092b07aeb6,Associate Professor (Teaching),"Cumming School of Medicine, Department of Cell Biology and Anatomy",0,https://profiles.ucalgary.ca/lian-willetts,source_declared
mem_092b07aeb6,Director/Innovation Portfolio,Hotchkiss Brain Institute,1,https://profiles.ucalgary.ca/lian-willetts,source_declared
mem_092b07aeb6,Director for Clinical Anatomy,Cumming School of Medicine,2,https://profiles.ucalgary.ca/lian-willetts,source_declared
mem_092b07aeb6,Academic Lead Evolve to Innovate (e2i),Hunter Hub for Entrepreneurial Thinking,3,https://profiles.ucalgary.ca/lian-willetts,source_declared
mem_0aa82264fe,Assistant Professor,"Cumming School of Medicine, Department of Psychiatry",0,https://profiles.ucalgary.ca/araba-chintoh,source_declared
mem_0aa82264fe,Canada Research Chair (Tier II),University of Calgary,1,https://profiles.ucalgary.ca/araba-chintoh,source_declared
mem_0aa82264fe,Child Health & Wellness Researcher,Alberta Children's Hospital Research Institute,2,https://profiles.ucalgary.ca/araba-chintoh,source_declared
mem_0aa82264fe,Full Member,"Hotchkiss Brain Institute, Mathison Centre for Mental Health Research and Education",3,https://profiles.ucalgary.ca/araba-chintoh,source_declared
mem_0aa82264fe,Research member,Libin Cardiovascular Institute,4,https://profiles.ucalgary.ca/araba-chintoh,source_declared
mem_0aa82264fe,Research member,"Alberta Children's Hospital Research Institute, Owerko Centre",5,https://profiles.ucalgary.ca/araba-chintoh,source_declared
mem_0aa82264fe,Residency Research Director,"Cumming School of Medicine, Department of Psychiatry",6,https://profiles.ucalgary.ca/araba-chintoh,source_declared
mem_0b284f6c80,Professor - Medicine,"Cumming School of Medicine, Department of Radiology",0,https://profiles.ucalgary.ca/robert-james-sevick,source_declared
mem_0b284f6c80,Full Member,Hotchkiss Brain Institute,1,https://profiles.ucalgary.ca/robert-james-sevick,source_declared
mem_0ba27398f2,Full Member,Hotchkiss Brain Institute,0,https://profiles.ucalgary.ca/richelle-mychasiuk,source_declared
mem_0ba6f2386f,Adjunct Assistant Professor,"Cumming School of Medicine, Department of Pediatrics",0,https://profiles.ucalgary.ca/brian-brooks,source_declared
mem_0ba6f2386f,Adjunct Associate Professor,"Faculty of Arts , Department of Psychology",1,https://profiles.ucalgary.ca/brian-brooks,source_declared
mem_0ba6f2386f,Associate Member,Hotchkiss Brain Institute,2,https://profiles.ucalgary.ca/brian-brooks,source_declared
mem_0ba6f2386f,Child Health & Wellness Researcher,"Alberta Children's Hospital Research Institute, Owerko Centre",3,https://profiles.ucalgary.ca/brian-brooks,source_declared
mem_0bae7d82da,Professor,"Faculty of Veterinary Medicine, Fulltime",0,https://profiles.ucalgary.ca/jeffrey-biernaskie,source_declared
mem_0bae7d82da,"Director,",Centre for Cell Therapy Translation,1,https://profiles.ucalgary.ca/jeffrey-biernaskie,source_declared
mem_0bae7d82da,"Chair, Reproduction and Regenerative Medicine Research Group",Faculty of Veterinary Medicine,2,https://profiles.ucalgary.ca/jeffrey-biernaskie,source_declared
mem_0bae7d82da,Full Member,Hotchkiss Brain Institute,3,https://profiles.ucalgary.ca/jeffrey-biernaskie,source_declared
mem_0bae7d82da,Professor (Teaching & Research),"Faculty of Veterinary Medicine, Fulltime",4,https://profiles.ucalgary.ca/jeffrey-biernaskie,source_declared
mem_0bae7d82da,Child Health & Wellness Researcher,Alberta Children's Hospital Research Institute,5,https://profiles.ucalgary.ca/jeffrey-biernaskie,source_declared
mem_0be3586361,Professor,"Cumming School of Medicine, Department of Pediatrics",0,https://profiles.ucalgary.ca/gerald-giesbrecht,source_declared
mem_0be3586361,Professor,"Cumming School of Medicine, Department of Community Health Sciences",1,https://profiles.ucalgary.ca/gerald-giesbrecht,source_declared
mem_0be3586361,Adjunct Professor,"Faculty of Arts , Department of Psychology",2,https://profiles.ucalgary.ca/gerald-giesbrecht,source_declared
mem_0be3586361,Child Health & Wellness Researcher,"Alberta Children's Hospital Research Institute, Owerko Centre",3,https://profiles.ucalgary.ca/gerald-giesbrecht,source_declared
mem_0be3586361,Full Member,Hotchkiss Brain Institute,4,https://profiles.ucalgary.ca/gerald-giesbrecht,source_declared
mem_0be3586361,Full Member,Mathison Centre for Mental Health Research and Education,5,https://profiles.ucalgary.ca/gerald-giesbrecht,source_declared
mem_0be3586361,Director,~ Other ~,6,https://profiles.ucalgary.ca/gerald-giesbrecht,source_declared
mem_0dc9704372,Adjunct Instructor,"Cumming School of Medicine, Department of Psychiatry",0,https://profiles.ucalgary.ca/emily-wang-0,source_declared
mem_0dc9704372,Sessional Instructor,"Faculty of Social Work, Calgary Campus",1,https://profiles.ucalgary.ca/emily-wang-0,source_declared
mem_0dc9704372,Associate Member,Hotchkiss Brain Institute,2,https://profiles.ucalgary.ca/emily-wang-0,source_declared
mem_0dc9704372,Associate Member,Mathison Centre for Mental Health Research and Education,3,https://profiles.ucalgary.ca/emily-wang-0,source_declared
mem_0f24dba938,Chair: Killam Memorial Emerging Leader Chair,"Faculty of Arts , Department of Psychology",0,https://profiles.ucalgary.ca/melanie-noel,source_declared
mem_0f24dba938,Professor,"Faculty of Arts , Department of Psychology",1,https://profiles.ucalgary.ca/melanie-noel,source_declared
mem_0f24dba938,Full Member,Hotchkiss Brain Institute,2,https://profiles.ucalgary.ca/melanie-noel,source_declared
mem_0f24dba938,Full Member,Mathison Centre for Mental Health Research and Education,3,https://profiles.ucalgary.ca/melanie-noel,source_declared
mem_0f24dba938,Child Health & Wellness Researcher,"Alberta Children's Hospital Research Institute, Owerko Centre",4,https://profiles.ucalgary.ca/melanie-noel,source_declared
mem_0f847603bd,Professor (Teaching & Research),Faculty of Veterinary Medicine,0,https://profiles.ucalgary.ca/patrick-whelan,source_declared
mem_0f847603bd,Professor,"Cumming School of Medicine, Department of Physiology and Pharmacology",1,https://profiles.ucalgary.ca/patrick-whelan,source_declared
mem_0f847603bd,Professor,"Cumming School of Medicine, Department of Clinical Neurosciences",2,https://profiles.ucalgary.ca/patrick-whelan,source_declared
mem_0f847603bd,Professor,Faculty of Kinesiology,3,https://profiles.ucalgary.ca/patrick-whelan,source_declared
mem_0f847603bd,Full Member,Hotchkiss Brain Institute,4,https://profiles.ucalgary.ca/patrick-whelan,source_declared
mem_0f847603bd,Child Health & Wellness Researcher,Alberta Children's Hospital Research Institute,5,https://profiles.ucalgary.ca/patrick-whelan,source_declared
mem_0f847603bd,Associate Member,McCaig Institute for Bone and Joint Health,6,https://profiles.ucalgary.ca/patrick-whelan,source_declared
mem_105244bf73,Clinical Professor,"Cumming School of Medicine, Department of Psychiatry",0,https://profiles.ucalgary.ca/john-duncan-mclennan,source_declared
mem_105244bf73,Clinical Professor,"Cumming School of Medicine, Department of Community Health Sciences",1,https://profiles.ucalgary.ca/john-duncan-mclennan,source_declared
mem_105244bf73,Child Health & Wellness Researcher,Alberta Children's Hospital Research Institute,2,https://profiles.ucalgary.ca/john-duncan-mclennan,source_declared
mem_105244bf73,Full Member,Hotchkiss Brain Institute,3,https://profiles.ucalgary.ca/john-duncan-mclennan,source_declared
mem_105244bf73,Full Member,Mathison Centre for Mental Health Research and Education,4,https://profiles.ucalgary.ca/john-duncan-mclennan,source_declared
mem_11c6e6d0a9,Clinical Professor,Cumming School of Medicine,0,https://profiles.ucalgary.ca/douglas-william-zochodne,source_declared
mem_11c6e6d0a9,Associate Member,Hotchkiss Brain Institute,1,https://profiles.ucalgary.ca/douglas-william-zochodne,source_declared
mem_12cfcd78b8,Associate Professor,Physical Medicine and Rehabilitation,0,https://profiles.ucalgary.ca/chantel-debert,source_declared
mem_12cfcd78b8,Full Member,"Hotchkiss Brain Institute, Integrative concussion research program",1,https://profiles.ucalgary.ca/chantel-debert,source_declared
mem_12cfcd78b8,Child Health & Wellness Researcher,Alberta Children's Hospital Research Institute,2,https://profiles.ucalgary.ca/chantel-debert,source_declared
mem_12cfcd78b8,Academic Lead,Calgary Brain Injury Program,3,https://profiles.ucalgary.ca/chantel-debert,source_declared
mem_12cfcd78b8,Full Member,Mathison Centre for Mental Health Research and Education,4,https://profiles.ucalgary.ca/chantel-debert,source_declared
mem_14c5161155,Full Member,Hotchkiss Brain Institute,0,https://profiles.ucalgary.ca/wilten-nicola,source_declared
mem_14c5161155,Associate Professor,"Cumming School of Medicine, Department of Cell Biology and Anatomy",1,https://profiles.ucalgary.ca/wilten-nicola,source_declared
mem_1a2035eb16,Associate Professor,"Cumming School of Medicine, Department of Clinical Neurosciences | Neurology",0,https://profiles.ucalgary.ca/karl-klein,source_declared
mem_1a2035eb16,Associate Professor,"Cumming School of Medicine, Department of Medical Genetics",1,https://profiles.ucalgary.ca/karl-klein,source_declared
mem_1a2035eb16,Associate Professor,"Cumming School of Medicine, Department of Community Health Sciences",2,https://profiles.ucalgary.ca/karl-klein,source_declared
mem_1a2035eb16,Full Member,"Hotchkiss Brain Institute, Brain and Mental Health Research Clinics Initiative",3,https://profiles.ucalgary.ca/karl-klein,source_declared
mem_1a2035eb16,Child Health & Wellness Researcher,Alberta Children's Hospital Research Institute,4,https://profiles.ucalgary.ca/karl-klein,source_declared
