member_id,link_group,platform,label,identifier,url,relationship_type,source_url,verification_status,display_order
mem_010c48c43f,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.ca/citations?user=LmWRKKkAAAAJ&hl=en,Scholarly profile,https://profiles.ucalgary.ca/pamela-roach,source_declared,20
mem_010c48c43f,research_profile,ResearchGate,ResearchGate Profile,,https://www.researchgate.net/profile/Pamela-Roach,Scholarly profile,https://profiles.ucalgary.ca/pamela-roach,source_declared,40
mem_01f8882e68,research_profile,ORCID,ORCID Profile,0000-0002-9963-7073,https://orcid.org/0000-0002-9963-7073,Scholarly identifier,https://profiles.ucalgary.ca/julia-kirkham,source_declared,30
mem_023bd77aa2,research_profile,ResearchGate,ResearchGate Profile,,https://www.researchgate.net/profile/Daniel_Pang,Scholarly profile,https://profiles.ucalgary.ca/daniel-pang,source_declared,40
mem_023bd77aa2,research_profile,PubMed,PubMed Author Search,,https://www.ncbi.nlm.nih.gov/pubmed/?term=pang+ds+%5Bau%5D,Publication index,https://profiles.ucalgary.ca/daniel-pang,source_declared,60
mem_023bd77aa2,research_ecosystem,Research Lab,Pang Lab,,https://panglab.wordpress.com,Research lab,https://profiles.ucalgary.ca/daniel-pang,source_declared,100
mem_02e49536b8,research_ecosystem,Research Lab,Lab site,,https://cumming.ucalgary.ca/labs/molecular-chaperones,Research lab,https://profiles.ucalgary.ca/janice-eva-arlee-braun,source_declared,100
mem_05362065f8,research_profile,Google Scholar,Google Scholar Profile,,https://scholar.google.ca/citations?hl=en&user=OieakZ4AAAAJ,Scholarly profile,https://profiles.ucalgary.ca/kristin-von-ranson,source_declared,20
mem_05362065f8,research_profile,ORCID,ORCID Profile,0000-0001-6023-7948,https://orcid.org/0000-0001-6023-7948,Scholarly identifier,https://profiles.ucalgary.ca/kristin-von-ranson,source_declared,30
mem_05362065f8,research_profile,ResearchGate,ResearchGate Profile,,https://www.researchgate.net/profile/Kristin_von_Ranson,Scholarly profile,https://profiles.ucalgary.ca/kristin-von-ranson,source_declared,40
mem_05362065f8,research_ecosystem,Research Lab,Eating Behaviours Lab,,https://psyc.ucalgary.ca/eatinglab/,Research lab,https://profiles.ucalgary.ca/kristin-von-ranson,source_declared,100
mem_05a8774842,research_profile,ORCID,ORCID Profile,0000-0003-1567-7391,https://orcid.org/0000-0003-1567-7391,Scholarly identifier,https://profiles.ucalgary.ca/jacqueline-smith-0,source_declared,30
mem_068c3d4ab0,research_ecosystem,Website,Personal website,,https://ucalgary.ca/people/yaoping-hu/home,Associated website,https://profiles.ucalgary.ca/yaoping-hu,source_declared,100
mem_068c3d4ab0,research_ecosystem,Website,Personal website,,https://ucalgary.ca/people/yaoping-hu/publications,Associated website,https://profiles.ucalgary.ca/yaoping-hu,source_declared,100
