member_id,phrase,source_type,sort_order,source_url,verification_status
mem_010c48c43f,Dementia and Cognitive Disorders,declared_area_list,0,https://profiles.ucalgary.ca/pamela-roach,source_declared
mem_010c48c43f,Mental Health,declared_area_list,1,https://profiles.ucalgary.ca/pamela-roach,source_declared
mem_010c48c43f,patient and family centered care,declared_area_list,2,https://profiles.ucalgary.ca/pamela-roach,source_declared
mem_010c48c43f,early onset dementia,declared_area_list,3,https://profiles.ucalgary.ca/pamela-roach,source_declared
mem_01f8882e68,"Dementia, mental healthcare quality",declared_area_title,0,https://profiles.ucalgary.ca/julia-kirkham,source_declared
mem_023bd77aa2,Clinical Science,declared_area_title,0,https://profiles.ucalgary.ca/daniel-pang,source_declared
mem_023bd77aa2,Equine Health,declared_area_title,1,https://profiles.ucalgary.ca/daniel-pang,source_declared
mem_023bd77aa2,Veterinary Medical Education,declared_area_title,2,https://profiles.ucalgary.ca/daniel-pang,source_declared
mem_023bd77aa2,Neuroscience,declared_area_title,3,https://profiles.ucalgary.ca/daniel-pang,source_declared
mem_023bd77aa2,Spinal Cord / Nerve Injury & Pain,declared_area_title,4,https://profiles.ucalgary.ca/daniel-pang,source_declared
mem_05362065f8,Eating Disorders and Body Image,declared_area_title,0,https://profiles.ucalgary.ca/kristin-von-ranson,source_declared
mem_05a8774842,"Mental illness bias, discrimination and stigma within Emergency settings",declared_area_title,0,https://profiles.ucalgary.ca/jacqueline-smith-0,source_declared
mem_05a8774842,Mental health and stress related experiences within post secondary settings,declared_area_title,1,https://profiles.ucalgary.ca/jacqueline-smith-0,source_declared
mem_05a8774842,"Addiction, family care givers, mindfulness, emotional health & wellbeing",declared_area_title,2,https://profiles.ucalgary.ca/jacqueline-smith-0,source_declared
mem_05a8774842,Narrative Inquiry,declared_area_title,3,https://profiles.ucalgary.ca/jacqueline-smith-0,source_declared
mem_05a8774842,Cannabis harm reduction & educational tools for university students,declared_area_title,4,https://profiles.ucalgary.ca/jacqueline-smith-0,source_declared
mem_068c3d4ab0,"Brain-Machine Interfaces, Mutil-sensory User Interaction in XR (Virtual/Mixed/Augumented Reality), Immersive Analytics",declared_area_title,0,https://profiles.ucalgary.ca/yaoping-hu,source_declared
mem_06b710915b,Neurorehabilitation,declared_area_title,0,https://profiles.ucalgary.ca/elizabeth-condliffe,source_declared
mem_06b710915b,Exercise,declared_area_title,1,https://profiles.ucalgary.ca/elizabeth-condliffe,source_declared
mem_06b710915b,Movement Impairment,declared_area_title,2,https://profiles.ucalgary.ca/elizabeth-condliffe,source_declared
mem_06b710915b,Neuroplasticity,declared_area_title,3,https://profiles.ucalgary.ca/elizabeth-condliffe,source_declared
mem_06b710915b,Robotic Rehabilitation,declared_area_title,4,https://profiles.ucalgary.ca/elizabeth-condliffe,source_declared
mem_06b710915b,Brain Stimulation,declared_area_title,5,https://profiles.ucalgary.ca/elizabeth-condliffe,source_declared
mem_06b710915b,Cerebral Palsy,declared_area_title,6,https://profiles.ucalgary.ca/elizabeth-condliffe,source_declared
mem_085f530390,Autism,declared_area_title,0,https://profiles.ucalgary.ca/jaideep-bains,source_declared
mem_085f530390,Behaviour,declared_area_title,1,https://profiles.ucalgary.ca/jaideep-bains,source_declared
mem_085f530390,Brain,declared_area_title,2,https://profiles.ucalgary.ca/jaideep-bains,source_declared
mem_085f530390,Neuroplasticity,declared_area_title,3,https://profiles.ucalgary.ca/jaideep-bains,source_declared
mem_085f530390,Synapses,declared_area_title,4,https://profiles.ucalgary.ca/jaideep-bains,source_declared
mem_087ae95126,Behaviour,declared_area_title,0,https://profiles.ucalgary.ca/derya-sargin,source_declared
mem_087ae95126,Brain Development,declared_area_title,1,https://profiles.ucalgary.ca/derya-sargin,source_declared
mem_087ae95126,Mental Health,declared_area_title,2,https://profiles.ucalgary.ca/derya-sargin,source_declared
mem_087ae95126,Molecular Mechanisms,declared_area_title,3,https://profiles.ucalgary.ca/derya-sargin,source_declared
mem_087ae95126,Neuroplasticity,declared_area_title,4,https://profiles.ucalgary.ca/derya-sargin,source_declared
mem_0ba27398f2,neuroplasticity,declared_area_title,0,https://profiles.ucalgary.ca/richelle-mychasiuk,source_declared
mem_0ba27398f2,Neurodevelopment,declared_area_title,1,https://profiles.ucalgary.ca/richelle-mychasiuk,source_declared
mem_0ba6f2386f,Brain Injury,declared_area_title,0,https://profiles.ucalgary.ca/brian-brooks,source_declared
mem_0ba6f2386f,Concussion,declared_area_title,1,https://profiles.ucalgary.ca/brian-brooks,source_declared
mem_0ba6f2386f,Health Outcomes,declared_area_title,2,https://profiles.ucalgary.ca/brian-brooks,source_declared
mem_0ba6f2386f,Psychosocial outcomes,declared_area_title,3,https://profiles.ucalgary.ca/brian-brooks,source_declared
