profile,source_url,original,raw_normalized,research_area_normalized,matched_candidate_terms,matched_sources,matched_cuis,has_umls_match,final_output,final_output_simplified,final_output_simplified_cleaned,research_tag_publishable
Wayne S.R. Chen,https://cumming.ucalgary.ca/departments/bmb/profiles/dr-wayne-sr-chen,cellular basis of cardiac arrhythmia,cellular basis of cardiac arrhythmia,Cardiac Arrhythmia | Cellular | Cellular Senescence | Basis | Enrollment basis,,MTH,C0003811 | C0178539 | C0007581 | C1874451 | C3865248,yes,Cardiac Arrhythmia | Cellular | Cellular Senescence | Basis | Enrollment basis,Cardiac Arrhythmia,Cardiac Arrhythmia,Cardiac Arrhythmia
Wayne S.R. Chen,https://cumming.ucalgary.ca/departments/bmb/profiles/dr-wayne-sr-chen,(ii) the molecular actions of pro,ii the molecular actions of pro,Actions not completed,ii molecular,SNOMEDCT_US,C0424237,yes,,(ii) the molecular actions of pro,Ii The Molecular Actions Of Pro,
Wayne S.R. Chen,https://cumming.ucalgary.ca/departments/bmb/profiles/dr-wayne-sr-chen,anti-arrhythmic drugs,anti-arrhythmic drugs,Anti-Arrhythmia Agents,anti arrhythmic,MTH,C0003195,yes,Anti-Arrhythmia Agents,anti-arrhythmic drugs,Anti Arrhythmic Drugs,Anti Arrhythmic Drugs
Wayne S.R. Chen,https://cumming.ucalgary.ca/departments/bmb/profiles/dr-wayne-sr-chen,development of novel anti-arrhythmic therapies,development of novel anti-arrhythmic therapies,Pervasive Development Disorder | Psychosexual Development | literary novel | Graphic Novel | novel human deoxyribonuclease,,MTH | MSH,C0524528 | C0033944 | C0679622 | C4042926 | C0537310,yes,Pervasive Development Disorder | Psychosexual Development | literary novel | Graphic Novel | novel human deoxyribonuclease,development of novel anti-arrhythmic therapies,Development Of Novel Anti Arrhythmic Therapies,
Wayne S.R. Chen,https://cumming.ucalgary.ca/departments/bmb/profiles/dr-wayne-sr-chen,(iv) regulation of ryr by phosphorylation,iv regulation of ryr by phosphorylation,Menstrual Regulation | Phosphorylation | Protein phosphorylation | Down-Regulation | Allosteric Regulation,,MTH | MSH,C0025335 | C0031715 | C1158886 | C0013081 | C0002145,yes,Menstrual Regulation | Phosphorylation | Protein phosphorylation | Down-Regulation | Allosteric Regulation,(iv) regulation of ryr by phosphorylation,Iv Regulation Of Ryr By Phosphorylation,
Wayne S.R. Chen,https://cumming.ucalgary.ca/departments/bmb/profiles/dr-wayne-sr-chen,single channel recordings in planar lipid bilayers,single channel recordings in planar lipid bilayers,,,,,no,single channel recordings in planar lipid bilayers,single channel recordings in planar lipid bilayers,Single Channel Recordings In Planar Lipid Bilayers,
Wayne S.R. Chen,https://cumming.ucalgary.ca/departments/bmb/profiles/dr-wayne-sr-chen,fluorescence ca2+ imaging,fluorescence ca2 imaging,Fluorescence Imaging | Fluorescence Spectroscopy | Diagnostic Imaging | Radionuclide Imaging | Magnetic Resonance Imaging,,MSH | MTH,C0430876 | C0242506 | C0011923 | C0034606 | C0024485,yes,Fluorescence Imaging | Fluorescence Spectroscopy | Diagnostic Imaging | Radionuclide Imaging | Magnetic Resonance Imaging,Fluorescence Imaging,Fluorescence Imaging,Fluorescence Imaging
Oksana Suchowersky,https://cumming.ucalgary.ca/departments/medical-genetics/Oksana-Suchowersky,neuroprotective therapies,neuroprotective therapies,Therapeutic procedure | Complementary therapies | Manual Therapies | Neuroprotective Agents | Psychological therapies,,MTH | MSH | SNOMEDCT_US,C0087111 | C0936077 | C0454525 | C0242912 | C0841584,yes,Therapeutic procedure | Complementary therapies | Manual Therapies | Neuroprotective Agents | Psychological therapies,neuroprotective therapies,Neuroprotective Therapies,Neuroprotective Therapies
Oksana Suchowersky,https://cumming.ucalgary.ca/departments/medical-genetics/Oksana-Suchowersky,developing new treatments for these disorders,developing new treatments for these disorders,Major Treatments | Ophthalmology Treatments | Mechanical Treatments | These questions three panel | How often did one or the other of these happen,developing new treatments,MTH,C2598130 | C1315028 | C0699886 | C4522116 | C6025086,yes,Major Treatments | Ophthalmology Treatments | Mechanical Treatments | These questions three panel | How often did one or the other of these happen,developing new treatments for these disorders,Developing New Treatments For These Disorders,
Morley Hollenberg,https://cumming.ucalgary.ca/departments/physiology-pharmacology/morley-hollenberg,molecular pharmacology,molecular pharmacology,Network Pharmacology,molecular pharmacology,MSH,C5544472,yes,Network Pharmacology,molecular pharmacology,Molecular Pharmacology,Molecular Pharmacology
