exp_id,profile_id,title,company,employment_type,location,start_date,end_date,duration,description,raw_text,sort_order
cb3f7cad-75b5-4132-af52-668687f1fa80,5d7cc79d-c1bc-4b40-b57e-46a8ec7456e9,Deputy Director,Hotchkiss Brain Institute,,University of Calgary,Jul 2017,Present,9 yrs 3 mos,,Deputy Director Hotchkiss Brain Institute Jul 2017 - Present · 9 yrs 3 mos University of Calgary,0
6d429bed-c0af-4179-a700-4e033cbb1699,5d7cc79d-c1bc-4b40-b57e-46a8ec7456e9,Professor of Radiology and Clinical Neuroscience,University of Calgary,Permanent Full-time,,Sep 1999,Present,27 yrs 1 mo,,"Professor of Radiology and Clinical Neuroscience Permanent Full-time Sep 1999 - Present · 27 yrs 1 mo Calgary, Alberta, Canada",1
e25f40d4-86d8-4774-aece-609c2d9307f3,5d7cc79d-c1bc-4b40-b57e-46a8ec7456e9,Hopewell Professor of Brain Imaging,University of Calgary,Jan 2010 - Mar 2024 · 14 yrs 3 mos,,,,,,"Hopewell Professor of Brain Imaging Jan 2010 - Mar 2024 · 14 yrs 3 mos Seaman Family MR Research Centre, Foothills Medical Centre",2
e3acaa66-f97b-4351-a24c-3190801ce313,5d7cc79d-c1bc-4b40-b57e-46a8ec7456e9,Scientific Director,Seaman Family MR Research Centre,,"Foothills Medical Centre, Alberta Health Services",Jan 2010,Jun 2017,7 yrs 6 mos,,"Scientific Director Seaman Family MR Research Centre Jan 2010 - Jun 2017 · 7 yrs 6 mos Foothills Medical Centre, Alberta Health Services",3
b1b6f51f-e8b3-4940-be27-7a0a5a43fb1f,49e29683-7510-4d47-b016-75d73fefa1ad,Professor of Radiology & Clinical Neurosciences,University of Calgary,,,2014,Present,,Greater Calgary Metropolitan Area,Professor of Radiology & Clinical Neurosciences | University of Calgary | 2014 | Present,0
b9a0b1ed-1747-45ae-a4eb-902059d07760,49e29683-7510-4d47-b016-75d73fefa1ad,Professor,,3rd+,,1994,Present,,Why am I seeing this ad?,Professor | 1994 | Present,1
c538ec3e-26eb-4105-acb5-9b6fb851360b,9be6e6d3-dd53-4fdf-878c-591b3b61c398,Director,Alberta Snowboarding Association,,,Oct 2025,Present,1 yr,,Director Alberta Snowboarding Association Oct 2025 - Present · 1 yr,0
94315eac-383d-401b-9e85-bbf2332c81a9,9be6e6d3-dd53-4fdf-878c-591b3b61c398,Director,Hotchkiss Brain Institute,Permanent Part-time,"Calgary, Alberta, Canada",Aug 2018,Present,8 yrs 2 mos,,"Director Hotchkiss Brain Institute · Permanent Part-time Aug 2018 - Present · 8 yrs 2 mos Calgary, Alberta, Canada",1
5b2dc597-cdd0-4bda-9c0f-a26a51ba9ca1,9be6e6d3-dd53-4fdf-878c-591b3b61c398,Neuroscientist,University of Calgary,Permanent Full-time,"Calgary, Alberta, Canada · On-site",Aug 2018,Present,8 yrs 2 mos,,"Neuroscientist University of Calgary · Permanent Full-time Aug 2018 - Present · 8 yrs 2 mos Calgary, Alberta, Canada · On-site",2
bacb4d68-44b0-417a-a41c-2ef33fa834c0,9be6e6d3-dd53-4fdf-878c-591b3b61c398,Director Brain and Mind Research Institute,University of Ottawa,Sep 2014 - Aug 2018 · 4 yrs,,,,,,Director Brain and Mind Research Institute Sep 2014 - Aug 2018 · 4 yrs,3
9fc3ce36-83cc-4263-807f-e5d4f3868529,9be6e6d3-dd53-4fdf-878c-591b3b61c398,Neuroscientist,University of Ottawa,Sep 1998 - Aug 2018 · 20 yrs,,,,,,Neuroscientist Sep 1998 - Aug 2018 · 20 yrs,4
b1662064-a594-4b74-b735-ccd470487265,9be6e6d3-dd53-4fdf-878c-591b3b61c398,Assistant Dean of Research,University of Ottawa,Sep 2009 - Sep 2014 · 5 yrs 1 mo,,,,,,Assistant Dean of Research Sep 2009 - Sep 2014 · 5 yrs 1 mo,5
24309afe-7268-4b36-a92b-a7b4a34dc2b9,7f3fb480-73e8-47d4-8405-b670641a876e,Medical Science Liaison,Novo Nordisk,Permanent Full-time,,Jul 2022,Present,4 yrs 3 mos,Canada,Medical Science Liaison | Novo Nordisk | Jul 2022 | Present,0
5979cfe1-c613-493f-a9b7-625099f6cf1d,7f3fb480-73e8-47d4-8405-b670641a876e,PhD in neuroscience,,3rd+,,May 2017,Dec 2021,4 yrs 8 mos,Why am I seeing this ad?,PhD in neuroscience | May 2017 | Dec 2021,1
0416fa05-e9ad-41c2-8dfd-f43aec63f7b4,635b6ff5-53a2-4868-9845-e9e1ce3c0f53,Assistant Professor,University of Calgary,Full-time,"Calgary, Alberta, Canada · On-site",Aug 2024,Present,2 yrs 2 mos,LinkedIn helped me get this job helped me get this job,"Assistant Professor University of Calgary · Full-time Aug 2024 - Present · 2 yrs 2 mos Calgary, Alberta, Canada · On-site LinkedIn helped me get this job helped me get this job",0
8da2e1ca-fae4-4806-8496-4f2c5fae9d81,635b6ff5-53a2-4868-9845-e9e1ce3c0f53,Assistant Professor,Indian Institute of Information Technology Vadodara,Full-time,"Gujarat, India",Feb 2020,Jul 2024,4 yrs 6 mos,"Open to research opportunities in Requirements Engineering, Software Engineering, Model-driven development, Model-based verification.","Assistant Professor Indian Institute of Information Technology Vadodara · Full-time Feb 2020 - Jul 2024 · 4 yrs 6 mos Gujarat, India Open to research opportunities in Requirements Engineering, Software Engineering, Model-driven development, Model-based verification.",1
090b946d-94b8-4510-a589-4a2280f96849,635b6ff5-53a2-4868-9845-e9e1ce3c0f53,Postdoctoral Researcher,Università Ca'​ Foscari di Venezia,Full-time,"Venice, Veneto, Italy",Dec 2017,Jan 2020,2 yrs 2 mos,Continued my research in Requirements Engineering - the main focus here was on Non-Functional Requirements and their management in software development.,"Postdoctoral Researcher Università Ca'​ Foscari di Venezia · Full-time Dec 2017 - Jan 2020 · 2 yrs 2 mos Venice, Veneto, Italy Continued my research in Requirements Engineering - the main focus here was on Non-Functional Requirements and their management in software development.",2
1e150e75-c8af-4cb2-88a1-e838f68af9d7,635b6ff5-53a2-4868-9845-e9e1ce3c0f53,PhD Scholar,University of Calcutta,Aug 2012 - Dec 2018 · 6 yrs 5 mos,,,,,"Software Engineering-related disciplines, mainly Requirements Engineering, Model-driven Engineering, Empirical studies and Software measurement, Wireless Networks, Ad Hoc networks, Mesh Networks, Routing Protocols, Security, Remote Healthcare Environments, System Design, Enterprise Architectures, Compliance Checking.","PhD Scholar Aug 2012 - Dec 2018 · 6 yrs 5 mos Greater Kolkata Area Software Engineering-related disciplines, mainly Requirements Engineering, Model-driven Engineering, Empirical studies and Software measurement, Wireless Networks, Ad Hoc networks, Mesh Networks, Routing Protocols, Security, Remote Healthcare Environments, System Design, Enterprise Architectures, Compliance Checking.",3
